Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,23.165950086666665,23.2931235,29.078770300000002,30.73763199,22.927739773333336,22.869251,28.9492747,30.66704291
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,63.87849314666666,63.999011499999995,69.8531833,71.65818118,46.49779816666667,46.592554,66.83525939999998,71.468874
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,60.690141080000004,60.8110125,66.6984963,68.51371418,44.27812365333334,44.376630000000006,63.81860619999999,68.33098
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,96.12618838,96.255007,102.00508830000001,103.82195517999999,65.52081941333333,65.646404,97.181889,103.47989562
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,16.441743433333333,16.626723,20.9061819,21.70342453,16.37023637333333,16.466592499999997,20.8923426,21.69857149
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,30.820975179999998,30.8779835,37.008005600000004,38.84450193,26.581211933333332,26.827147,36.861255,38.819832389999995
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,28.52177288666667,28.596818499999998,34.7353817,36.571408149999996,24.58565456,24.7962,34.5947576,36.54297345
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,11.41970996,11.809441,13.2431178,13.54229082,11.410842753333332,11.774075,13.2375616,13.535418550000001
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,15.229613473333332,15.412166500000001,20.329885899999997,21.432247679999996,15.130559833333331,15.097856499999999,20.3071774,21.426522029999997
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,8.820244333333333,9.072925000000001,9.433463999999999,9.56647669,8.813689246666666,9.069111,9.4239726,9.56134578
